,City,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,hf_score,End Total
0,London,200.0,265.85,556.24,57.95,335.23,300.84000000000003,42.35,1758.46
1,Dubai,196.88,348.2,542.24,30.81,596.12,116.16,30.65,1861.0600000000002
2,Paris,191.84,235.39999999999998,666.64,59.18,368.34,322.5,40.099999999999994,1884.0
3,Perth,190.76,310.55,644.48,23.53,522.34,300.06,43.099999999999994,2034.8199999999997
4,Sydney,189.06,274.1,570.16,18.48,520.24,196.79999999999998,43.099999999999994,1811.9399999999998
5,Melbourne,185.16,277.4,613.36,30.28,482.92999999999995,292.5,43.099999999999994,1924.73
6,Doha,181.46,409.79999999999995,544.48,83.45,561.96,163.02,30.75,1974.92
7,New York,181.06,277.8,411.12,12.01,433.58,283.98,42.300000000000004,1641.85
8,Dublin,180.9,250.65,328.96,30.54,456.89,289.86,42.599999999999994,1580.4
9,Berlin,179.08,343.6,523.84,16.05,638.19,145.07999999999998,42.65,1888.49
10,Montreal,178.56,334.95,534.16,6.27,549.85,189.78,43.25,1836.82
11,Toronto,176.84,307.2,528.88,8.95,539.14,164.39999999999998,43.25,1768.6599999999999
12,Cape Town,175.9,301.8,573.36,75.98,551.11,408.36,35.4,2121.9100000000003
13,Ottawa,175.38,459.25,528.16,33.55,602.77,133.5,43.25,1975.86
14,Brisbane,175.26,268.6,711.12,22.19,539.49,275.04,43.099999999999994,2034.8
15,Adelaide,174.58,360.15,450.0,12.01,640.7800000000001,247.92000000000002,43.099999999999994,1928.54
16,Lausanne,174.42,453.84999999999997,526.8,87.62,512.4699999999999,213.29999999999998,44.1,2012.5599999999997
17,Los Angeles,173.72,313.75,548.88,75.2,439.74,394.43999999999994,42.300000000000004,1988.03
18,Auckland,172.86,245.10000000000002,574.8,30.03,468.86,302.28000000000003,44.400000000000006,1838.3300000000002
19,Abu Dhabi,172.8,340.15,384.16,53.42,565.6,65.16,30.65,1611.9400000000003
20,Hong Kong,172.74,250.35,540.72,14.88,416.5,97.85999999999999,44.050000000000004,1537.1
21,Phoenix,172.74,402.70000000000005,519.2,38.77,577.85,248.45999999999998,42.300000000000004,2002.0200000000002
22,Muscat,172.6,385.79999999999995,500.0,64.65,412.93,300.0,29.900000000000002,1865.8800000000003
23,Munich,172.0,316.4,707.44,43.08,630.56,92.03999999999999,42.65,2004.17
24,Edmonton,171.88,335.95,630.64,22.79,627.06,186.84,43.25,2018.4099999999999
