,City,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,lat,lng,Country,hf_score,hf_rank
0,London,100.0,53.17,69.53,57.95,47.89,50.14,51.5073509,-0.12775830000000002,United Kingdom,8.47,0.0
1,Dubai,98.44,69.64,67.78,30.81,85.16,19.36,25.204849300000006,55.2707828,United Arab Emirates,6.13,0.0
2,Paris,95.92,47.08,83.33,59.18,52.62,53.75,48.856614,2.3522218999999995,France,8.02,0.0
3,Perth,95.38,62.11,80.56,23.53,74.62,50.01,-31.9505269,115.8604572,Australia,8.62,0.0
4,Sydney,94.53,54.82,71.27,18.48,74.32,32.8,-33.8688197,151.2092955,Australia,8.62,0.0
5,Melbourne,92.58,55.48,76.67,30.28,68.99,48.75,-37.8136276,144.96305759999996,Australia,8.62,0.0
6,Doha,90.73,81.96,68.06,83.45,80.28,27.17,25.2854473,51.53103979999999,Qatar,6.15,0.0
7,New York,90.53,55.56,51.39,12.01,61.94,47.33,40.7127753,-74.0059728,United States,8.46,0.0
8,Dublin,90.45,50.13,41.12,30.54,65.27,48.31,53.34980529999999,-6.2603097000000005,Ireland,8.52,0.0
9,Berlin,89.54,68.72,65.48,16.05,91.17,24.18,52.52000659999999,13.404954,Germany,8.53,0.0
10,Montreal,89.28,66.99,66.77,6.27,78.55,31.63,45.5016889,-73.567256,Canada,8.65,0.0
11,Toronto,88.42,61.44,66.11,8.95,77.02,27.4,43.653226,-79.3831843,Canada,8.65,0.0
12,Cape Town,87.95,60.36,71.67,75.98,78.73,68.06,-33.9248685,18.424055300000006,South Africa,7.08,0.0
13,Ottawa,87.69,91.85,66.02,33.55,86.11,22.25,45.42152960000001,-75.69719309999998,Canada,8.65,0.0
14,Brisbane,87.63,53.72,88.89,22.19,77.07,45.84,-27.4697707,153.0251235,Australia,8.62,0.0
15,Adelaide,87.29,72.03,56.25,12.01,91.54,41.32,-34.9284989,138.6007456,Australia,8.62,0.0
16,Lausanne,87.21,90.77,65.85,87.62,73.21,35.55,46.5196535,6.6322734,Switzerland,8.82,0.0
17,Los Angeles,86.86,62.75,68.61,75.2,62.82,65.74,34.0522342,-118.24368490000002,United States,8.46,0.0
18,Auckland,86.43,49.02,71.85,30.03,66.98,50.38,-36.84830480000001,174.76248859999995,New Zealand,8.88,0.0
19,Abu Dhabi,86.4,68.03,48.02,53.42,80.8,10.86,24.453884,54.3773438,United Arab Emirates,6.13,0.0
20,Hong Kong,86.37,50.07,67.59,14.88,59.5,16.31,22.3193039,114.1693611,Hong Kong,8.81,0.0
21,Phoenix,86.37,80.54,64.9,38.77,82.55,41.41,33.4483771,-112.0740373,United States,8.46,0.0
22,Muscat,86.3,77.16,62.5,64.65,58.99,50.0,23.5880307,58.38287170000001,Oman,5.98,0.0
23,Munich,86.0,63.28,88.43,43.08,90.08,15.34,48.1351253,11.581980499999998,Germany,8.53,0.0
24,Edmonton,85.94,67.19,78.83,22.79,89.58,31.14,53.5461245,-113.4938229,Canada,8.65,0.0
25,Zurich,85.89,79.58,78.33,18.04,97.91,15.35,47.37688660000001,8.541694,Switzerland,8.82,0.0
26,Luxembourg,85.85,76.44,59.72,57.17,81.41,18.75,49.815273,6.1295829999999984,Luxembourg,8.56,0.0
27,Calgary,85.77,63.9,75.33,23.53,87.57,29.53,51.04473309999999,-114.0718831,Canada,8.65,0.0
