Rank,City,Movehub Rating,Rank,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,lat,lng,Country
1,London,100.0,1,53.17,69.53,57.95,47.89,50.14,51.5073509,-0.12775830000000002,United Kingdom
2,Dubai,98.44,2,69.64,67.78,30.81,85.16,19.36,25.204849300000003,55.2707828,United Arab Emirates
3,Paris,95.92,3,47.08,83.33,59.18,52.62,53.75,48.856614,2.3522218999999995,France
4,Perth,95.38,4,62.11,80.56,23.53,74.62,50.01,-31.950526899999996,115.8604572,Australia
5,Sydney,94.53,5,54.82,71.27,18.48,74.32,32.8,-33.8688197,151.2092955,Australia
6,Melbourne,92.58,6,55.48,76.67,30.28,68.99,48.75,-37.813627600000004,144.96305759999998,Australia
7,Doha,90.73,7,81.96,68.06,83.45,80.28,27.17,25.2854473,51.53103979999999,Qatar
8,New York,90.53,8,55.56,51.39,12.01,61.94,47.33,40.7127753,-74.0059728,United States
9,Dublin,90.45,9,50.13,41.12,30.54,65.27,48.31,53.34980529999999,-6.2603097000000005,Ireland
10,Berlin,89.54,10,68.72,65.48,16.05,91.17,24.18,52.52000659999999,13.404954,Germany
11,Montreal,89.28,11,66.99,66.77,6.27,78.55,31.63,45.5016889,-73.567256,Canada
12,Toronto,88.42,12,61.44,66.11,8.95,77.02,27.4,43.653226000000004,-79.3831843,Canada
13,Cape Town,87.95,13,60.36,71.67,75.98,78.73,68.06,-33.9248685,18.424055300000003,South Africa
14,Ottawa,87.69,14,91.85,66.02,33.55,86.11,22.25,45.42152960000001,-75.69719309999998,Canada
15,Brisbane,87.63,15,53.72,88.89,22.19,77.07,45.84,-27.469770699999998,153.0251235,Australia
16,Adelaide,87.29,16,72.03,56.25,12.01,91.54,41.32,-34.9284989,138.6007456,Australia
17,Lausanne,87.21,17,90.77,65.85,87.62,73.21,35.55,46.5196535,6.6322734,Switzerland
18,Los Angeles,86.86,18,62.75,68.61,75.2,62.82,65.74,34.0522342,-118.24368490000002,United States
19,Auckland,86.43,19,49.02,71.85,30.03,66.98,50.38,-36.84830480000001,174.76248859999998,New Zealand
20,Abu Dhabi,86.4,20,68.03,48.02,53.42,80.8,10.86,24.453884,54.3773438,United Arab Emirates
21,Hong Kong,86.37,21,50.07,67.59,14.88,59.5,16.31,22.319303899999998,114.1693611,Hong Kong
22,Phoenix,86.37,22,80.54,64.9,38.77,82.55,41.41,33.4483771,-112.07403729999999,United States
23,Muscat,86.3,23,77.16,62.5,64.65,58.99,50.0,23.5880307,58.38287170000001,Oman
24,Munich,86.0,24,63.28,88.43,43.08,90.08,15.34,48.1351253,11.581980499999998,Germany
25,Edmonton,85.94,25,67.19,78.83,22.79,89.58,31.14,53.5461245,-113.49382290000001,Canada
26,Zurich,85.89,26,79.58,78.33,18.04,97.91,15.35,47.376886600000006,8.541694,Switzerland
27,Luxembourg,85.85,27,76.44,59.72,57.17,81.41,18.75,49.815273,6.1295829999999984,Luxembourg
28,Calgary,85.77,28,63.9,75.33,23.53,87.57,29.53,51.04473309999999,-114.0718831,Canada
29,San Francisco,85.38,29,63.54,75.46,17.06,79.08,32.25,37.7749295,-122.4194155,United States
30,Seattle,85.38,30,78.46,75.46,32.9,84.1,42.03,47.6062095,-122.33207079999998,United States
31,Madrid,85.37,31,54.07,73.51,55.77,59.87,39.34,40.4167754,-3.7037902000000003,Spain
32,Saint Louis,85.25,32,80.4,77.29,31.33,87.51,78.13,38.6270025,-90.1994042,United States
33,Houston,85.24,33,71.96,79.44,65.21,74.08,61.72,29.7604267,-95.36980279999999,United States
34,Newark,84.97,34,84.39,79.72,62.14,73.21,30.21,40.735657,-74.1723667,United States
35,Atlanta,84.92,35,80.83,61.11,63.09,80.51,56.04,33.7489954,-84.3879824,United States
36,Las Vegas,84.88,36,80.46,66.52,59.73,60.5,70.57,36.169941200000004,-115.13982959999998,United States
37,Austin,84.86,37,69.22,73.61,28.84,86.51,42.5,30.267153000000004,-97.7430608,United States
38,Brussels,84.8,38,54.41,81.35,6.79,65.42,53.79,50.8503396,4.3517103,Belgium
39,Lyon,84.78,39,56.05,88.65,37.21,71.13,47.27,45.764043,4.835659,France
40,Dresden,84.75,40,82.6,78.29,16.89,90.21,15.34,51.0504088,13.737262099999999,Germany
41,Dallas,84.71,41,76.18,69.99,83.89,80.56,59.9,32.7766642,-96.7969879,United States
42,Hamburg,84.66,42,61.13,82.41,67.78,87.18,25.52,53.5510846,9.9936819,Germany
43,Indianapolis,84.52,43,80.72,36.66,82.08,77.13,30.21,39.768403,-86.158068,United States
44,Charlotte,84.46,44,77.18,72.08,67.05,84.39,30.21,35.2270869,-80.8431267,United States
45,Miami,84.43,45,57.79,64.44,22.45,74.77,64.85,25.7616798,-80.1917902,United States
46,Orlando,84.39,46,71.07,76.01,70.75,82.33,55.07,28.5383355,-81.3792365,United States
47,Malaga,84.3,47,45.77,69.17,30.55,67.9,9.11,36.7211784,-4.4217198999999985,Spain
48,Baltimore,84.28,48,78.78,72.08,77.98,82.0,58.85,39.2903848,-76.6121893,United States
49,Tampa,84.27,49,75.72,56.94,49.89,80.75,60.73,27.950575,-82.4571776,United States
50,Glasgow,84.23,50,85.0,90.55,0.0,80.0,60.0,55.864237,-4.251806,United Kingdom
51,Portland,84.23,51,72.6,72.77,31.98,88.76,39.22,45.5051064,-122.6750261,United States
52,Basel,84.2,52,78.17,79.74,59.18,88.27,28.12,47.5595986,7.5885761,Switzerland
53,Strasbourg,84.18,53,72.23,42.81,39.91,66.5,47.27,48.5734053,7.752111299999998,France
54,Johannesburg,84.08,54,53.99,59.98,47.39,51.26,83.93,-26.2041028,28.047305100000003,South Africa
55,Amsterdam,84.0,55,47.18,68.06,53.42,72.85,29.76,52.3675734,4.9041389,Netherlands
56,Edinburgh,83.92,56,58.77,60.64,13.94,75.03,30.51,55.953252,-3.1882669999999997,United Kingdom
57,San Antonio,83.76,57,74.78,60.97,59.19,84.88,51.41,29.4241219,-98.4936282,United States
58,Cork,83.55,58,47.98,64.32,18.48,76.37,35.83,32.807190000000006,-96.7963929,United Kingdom
59,Minneapolis,83.47,59,69.91,62.35,77.94,83.79,40.36,44.977753,-93.2650108,United States
60,Dusseldorf,83.45,60,72.52,75.98,8.61,88.02,15.34,51.2277411,6.773455599999999,Germany
61,Barcelona,83.37,61,45.68,58.47,71.75,47.18,41.47,36.088105600000006,-95.9241306,Spain
62,Christchurch,83.36,62,47.1,83.86,22.2,76.6,51.3,-43.5319957,172.6396575,New Zealand
63,Leicester,83.36,63,71.88,60.64,18.04,76.19,24.22,52.63687779999999,-1.1397591999999999,United Kingdom
64,Philadelphia,83.31,64,68.77,54.17,38.64,65.53,68.58,39.9525839,-75.1652215,United States
65,San Diego,83.29,65,71.37,67.22,32.64,80.18,39.55,32.715738,-117.1610838,United States
66,Geneva,83.27,66,61.22,74.88,29.43,82.76,54.36,46.2043907,6.143157700000001,Switzerland
67,The Hague,83.23,67,68.28,66.74,37.21,79.99,29.76,52.07049779999999,4.300699900000001,Netherlands
68,Canberra,83.23,68,63.26,91.9,11.48,93.05,40.36,-35.2809368,149.1300092,Australia
